Current_Table,New_Table
CES_ERP.FSCM_PROD_ORGANIZATION.ORGANIZATION_UNIT_PVO,"{{source('CES_ERP_FSCM_ORGANIZATION','ORGANIZATION_UNIT_PVO')}}"
CES_ERP.FSCM_PROD_PRCPOZPUBLICVIEW.SUPPLIER_PVO,"{{source('CES_ERP_FSCM_PRCPOZPUBLICVIEW','SUPPLIER_PVO')}}"
CES_ERP.FSCM_PROD_FINEXTRACT_APBICCEXTRACT.PAID_DISBURSEMENT_SCHEDULE_EXTRACT_PVO,"{{source('CES_ERP_FSCM_FINEXTRACT_APBICCEXTRACT','PAID_DISBURSEMENT_SCHEDULE_EXTRACT_PVO')}}"
CES_ERP.FSCM_PROD_ANALYTICSSERVICE.LOOKUP_VALUES_TLPVO,"{{source('CES_ERP_FREQ_FSCM_ANALYTICSSERVICE','LOOKUP_VALUES_TLPVO')}}"
CES_ERP.FSCM_PROD_FINEXTRACT_APBICCEXTRACT.INVOICE_PAYMENT_SCHEDULE_EXTRACT_PVO,"{{source('CES_ERP_FSCM_FINEXTRACT_APBICCEXTRACT','INVOICE_PAYMENT_SCHEDULE_EXTRACT_PVO')}}"
CES_ERP.FSCM_PROD_FINEXTRACT_XLEBICCEXTRACT.LEGAL_ENTITY_EXTRACT_PVO,"{{source('CES_ERP_FSCM_FINEXTRACT_XLEBICCEXTRACT','LEGAL_ENTITY_EXTRACT_PVO')}}"
CES_ERP.FSCM_PROD_PRCPOZPUBLICVIEW.SUPPLIER_SITE_PVO,"{{source('CES_ERP_FSCM_PRCPOZPUBLICVIEW','SUPPLIER_SITE_PVO')}}"
CES_ERP.FSCM_PROD_FINAPSHAREDCORE.INVOICE_PAYMENT_LOOKUP_PVO,"{{source('CES_ERP_FSCM_FINAPSHAREDCORE','INVOICE_PAYMENT_LOOKUP_PVO')}}"
CES_ERP.FSCM_PROD_FINEXTRACT_APBICCEXTRACT.INVOICE_HEADER_EXTRACT_PVO,"{{source('CES_ERP_FSCM_FINEXTRACT_APBICCEXTRACT','INVOICE_HEADER_EXTRACT_PVO')}}"
CES_ERP.FSCM_PROD_FINEXTRACT_APBICCEXTRACT.DISBURSEMENT_HEADER_EXTRACT_PVO,"{{source('CES_ERP_FSCM_FINEXTRACT_APBICCEXTRACT','DISBURSEMENT_HEADER_EXTRACT_PVO')}}"
CES_ERP.FSCM_PROD_FINEXTRACT_APBICCEXTRACT.PAYMENT_TERM_HEADER_TRANSLATION_EXTRACT_PVO,"{{source('CES_ERP_FSCM_FINEXTRACT_APBICCEXTRACT','PAYMENT_TERM_HEADER_TRANSLATION_EXTRACT_PVO')}}"
